SCHOOL NAME,COMMUNITY,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta
Grafton School,Anola ¹,5.0,4.0,4.0,5.0,1.25,0.8
Heartland Colony School,Hazelridge ¹,5.0,0.0,4.0,0.0,1.25,
Hofer School,Beausejour ¹,4.0,6.0,2.0,5.0,2.0,1.2
Lac Du Bonnet Senior,Lac Du Bonnet,22.0,39.0,37.0,33.0,0.5945945945945946,1.1818181818181819
Powerview School,Powerview,37.0,52.0,49.0,44.0,0.7551020408163265,1.1818181818181819
Richland School,Dugald ¹,3.0,4.0,2.0,3.0,1.5,1.3333333333333333
Springfield Collegiate,Oakbank,138.0,129.0,138.0,144.0,1.0,0.8958333333333334
Springwell School,Lac Du Bonnet ¹,4.0,3.0,3.0,4.0,1.3333333333333333,0.75
Whitemouth School,Whitemouth,9.0,21.0,21.0,10.0,0.42857142857142855,2.1
Swan Valley Regional Secondary School,Swan River,105.0,130.0,122.0,124.0,0.860655737704918,1.0483870967741935
Boissevain School,Boissevain,26.0,28.0,33.0,39.0,0.7878787878787878,0.717948717948718
Can Am Colony School,Margaret ¹,2.0,2.0,3.0,5.0,0.6666666666666666,0.4
Holmfield Colony School,Killarney ¹,1.0,1.0,0.0,3.0,inf,0.3333333333333333
Killarney School,Killarney,32.0,43.0,36.0,44.0,0.8888888888888888,0.9772727272727273
Mayfair Colony School,Killarney ¹,5.0,3.0,3.0,5.0,1.6666666666666667,0.6
Wellwood School,Killarney ¹,2.0,1.0,1.0,2.0,2.0,0.5
Alonsa School,Alonsa,9.0,14.0,17.0,11.0,0.5294117647058824,1.2727272727272727
Glenella School,Glenella,8.0,7.0,6.0,11.0,1.3333333333333333,0.6363636363636364
Grass River School,Glenella ¹,4.0,2.0,2.0,1.0,2.0,2.0
Parkview School,Riding Mountain ¹,1.0,3.0,3.0,3.0,0.3333333333333333,1.0
Ste. Rose School,Ste Rose Du Lac,16.0,18.0,19.0,25.0,0.8421052631578947,0.72
Morden Collegiate,Morden,119.0,147.0,126.0,153.0,0.9444444444444444,0.9607843137254902
Argyle Alternative High School,Winnipeg,35.0,57.0,28.0,61.0,1.25,0.9344262295081968
Churchill High,Winnipeg,63.0,68.0,66.0,80.0,0.9545454545454546,0.85
Collège Churchill,Winnipeg,23.0,15.0,15.0,20.0,1.5333333333333334,0.75
École Sec. Kelvin High School,Winnipeg,347.0,359.0,352.0,381.0,0.9857954545454546,0.9422572178477691
Elmwood High,Winnipeg,132.0,210.0,140.0,190.0,0.9428571428571428,1.105263157894737
Gordon Bell High,Winnipeg,168.0,146.0,119.0,149.0,1.411764705882353,0.9798657718120806
Grant Park High,Winnipeg,212.0,248.0,219.0,209.0,0.9680365296803652,1.186602870813397
Interdivisional Student Services,Winnipeg,1.0,13.0,2.0,12.0,0.5,1.0833333333333333
Niji Mahkwa School,Winnipeg,13.0,9.0,10.0,12.0,1.3,0.75
R.B. Russell Vocational School,Winnipeg,83.0,156.0,67.0,209.0,1.2388059701492538,0.7464114832535885
Sisler High School,Winnipeg,504.0,560.0,513.0,484.0,0.9824561403508771,1.1570247933884297
St. John's High,Winnipeg,152.0,149.0,144.0,149.0,1.0555555555555556,1.0
Tech-Vocational High,Winnipeg,313.0,544.0,369.0,520.0,0.8482384823848238,1.0461538461538462
Winnipeg Adult Education Centre,Winnipeg,152.0,395.0,158.0,457.0,0.9620253164556962,0.8643326039387309
Pinawa Secondary School,Pinawa,19.0,15.0,18.0,13.0,1.0555555555555556,1.1538461538461537
Austin Christian Academy,Austin,5.0,3.0,3.0,2.0,1.6666666666666667,1.5
Balmoral Hall School,Winnipeg,59.0,41.0,48.0,49.0,1.2291666666666667,0.8367346938775511
Calvin Christian School,Winnipeg,31.0,38.0,39.0,37.0,0.7948717948717948,1.027027027027027
Cartwright Community Independent Sch.,Cartwright,0.0,7.0,0.0,3.0,,2.3333333333333335
Dufferin Christian School,Carman,17.0,12.0,13.0,10.0,1.3076923076923077,1.2
Faith Academy,Winnipeg,43.0,36.0,36.0,42.0,1.1944444444444444,0.8571428571428571
Gray Academy Of Jewish Education,Winnipeg,26.0,30.0,30.0,48.0,0.8666666666666667,0.625
Green Acres Colony High School,Wawanesa ¹,2.0,6.0,2.0,4.0,1.0,1.5
H. B. Community School,McGregor ¹,3.0,4.0,4.0,2.0,0.75,2.0
Immanuel Christian School,Winnipeg,13.0,13.0,13.0,10.0,1.0,1.3
Lakeside Christian School,Killarney,2.0,2.0,2.0,2.0,1.0,1.0
Linden Christian School,Winnipeg,89.0,74.0,73.0,77.0,1.2191780821917808,0.961038961038961
