DistrictType,SchoolType,DistrictNumber,DistrictName,SchoolNumber,SchoolName,SchoolAddress,SchoolCity,SchoolState,SchoolZip,County Lookup,District No.,District Name,School No.,School Name,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta,County,SchoolZipCleaned
Public School District,Secondary 9-12,28002,Estelline 28-2,1,Estelline High School - 01,708 Davis Ave,Estelline,SD,57234,Estelline SD,28002.0,Estelline 28-2                ,1.0,Estelline High School                   ,16.0,13.0,16.0,13.0,1.0,1.0,,57234
Public School District,Secondary 9-12,17001,Ethan 17-1,1,Ethan High School - 01,320 S 2nd St,Ethan,SD,57334-0169,Ethan SD,17001.0,Ethan 17-1                    ,1.0,Ethan High School                       ,20.0,17.0,20.0,17.0,1.0,1.0,,57334
Public School District,Secondary 9-12,44001,Eureka 44-1,1,Eureka High School - 01,805 10th St,Eureka,SD,57437-0010,Eureka SD,44001.0,Eureka 44-1                   ,1.0,Eureka High School                      ,16.0,12.0,16.0,12.0,1.0,1.0,,57437
Public School District,Secondary 9-12,46002,Faith 46-2,1,Faith High School - 01,206 W 5th St,Faith,SD,57626-0619,Faith SD,46002.0,Faith 46-2                    ,1.0,Faith High School                       ,15.0,13.0,15.0,13.0,1.0,1.0,,57626
Public School District,Secondary 9-12,24004,Faulkton Area Schools 24-4,1,Faulkton High School - 01,1114 Court St,Faulkton,SD,57438,Faulkton SD,24004.0,Faulkton Area                 ,1.0,Faulkton Hi Sch                         ,17.0,16.0,17.0,16.0,1.0,1.0,,57438
Public School District,Secondary 9-12,50003,Flandreau 50-3,1,Flandreau High School - 01,600 W Community Dr,Flandreau,SD,57028-1098,Flandreau SD,50003.0,Flandreau 50-3                ,1.0,Flandreau High Sch                      ,44.0,34.0,44.0,34.0,1.0,1.0,,57028
Public School District,Secondary 9-12,14001,Florence 14-1,1,Florence High School - 01,515 Main Ave,Florence,SD,57235-0066,Florence SD,14001.0,Florence 14-1                 ,1.0,Florence High School                    ,17.0,16.0,17.0,16.0,1.0,1.0,,57235
Public School District,Secondary 9-12,6002,Frederick Area 06-2,1,Frederick High School - 01,202 E Main St,Frederick,SD,57441,Frederick SD,6002.0,Frederick Area 06-2           ,1.0,Frederick High School                   ,15.0,19.0,15.0,19.0,1.0,1.0,,57441
Public School District,Secondary 9-12,33001,Freeman 33-1,1,Freeman High School - 01,1001 S Wipf St,Freeman,SD,57029,Freeman SD,33001.0,Freeman 33-1                  ,1.0,Freeman High School                     ,18.0,15.0,18.0,15.0,1.0,1.0,,57029
Public School District,Secondary 9-12,49004,Garretson 49-4,1,Garretson High School - 01,505 2nd St,Garretson,SD,57030-0381,Garretson SD,49004.0,Garretson 49-4                ,1.0,Garretson High School                   ,43.0,34.0,43.0,34.0,1.0,1.0,,57030
Public School District,Secondary 9-12,63001,Gayville-Volin 63-1,1,Gayville-Volin High School - 01,100 Kingsbury St,Gayville,SD,57031,Gayville SD,63001.0,Gayville-Volin 63-1           ,1.0,Gayville-Volin Hi Sch                   ,22.0,29.0,22.0,29.0,1.0,1.0,,57031
Public School District,Secondary 9-12,53001,Gettysburg 53-1,1,Gettysburg High School - 01,100 E King Ave,Gettysburg,SD,57442-1799,Gettysburg SD,53001.0,Gettysburg 53-1               ,1.0,Gettysburg High School                  ,18.0,14.0,18.0,14.0,1.0,1.0,,57442
Public School District,Secondary 9-12,26004,Gregory 26-4,1,Gregory High School - 01,505 Logan St,Gregory,SD,57533,Gregory SD,26004.0,Gregory 26-4                  ,1.0,Gregory High School                     ,26.0,29.0,26.0,29.0,1.0,1.0,,57533
Public School District,Secondary 9-12,6006,Groton Area 06-6,1,Groton Area High School - 01,406 N 2nd St,Groton,SD,57445-0410,Groton SD,6006.0,Groton Area                   ,1.0,Groton Area High School                 ,34.0,56.0,34.0,56.0,1.0,1.0,,57445
Public School District,Secondary 9-12,27001,Haakon 27-1,1,Philip High School - 01,330 Scottie Ave,Philip,SD,57567-0730,Philip SD,27001.0,Haakon 27-1                   ,1.0,Philip High School                      ,27.0,25.0,27.0,25.0,1.0,1.0,,57567
Public School District,Secondary 9-12,28003,Hamlin 28-3,1,Hamlin High School - 01,44577 188th St,Hayti,SD,57241,Hayti SD,28003.0,Hamlin 28-3                   ,1.0,Hamlin Hi Sch                           ,42.0,43.0,42.0,43.0,1.0,1.0,,57241
Public School District,Secondary 9-12,30001,Hanson 30-1,7,Hanson Colony Alternative High School - 07,41659 256th St,Mitchell,SD,57301,Mitchell SD,30001.0,Hanson 30-1                   ,7.0,Hanson Alternative Colony High School   ,1.0,2.0,1.0,2.0,1.0,1.0,,57301
Public School District,Secondary 9-12,30001,Hanson 30-1,1,Hanson High School - 01,230 6th St,Alexandria,SD,57311-0490,Alexandria SD,30001.0,Hanson 30-1                   ,1.0,Hanson High School                      ,26.0,28.0,26.0,28.0,1.0,1.0,,57311
Public School District,Secondary 9-12,31001,Harding County 31-1,1,Harding County High School - 01,12474 Tipperary St,Buffalo,SD,57720,Buffalo SD,31001.0,Harding County 31-1           ,1.0,Harding County High School              ,14.0,22.0,14.0,22.0,1.0,1.0,,57720
Public School District,Secondary 9-12,41002,Harrisburg 41-2,1,Harrisburg High School - 01,1300 W Willow St,Harrisburg,SD,57032,Harrisburg SD,41002.0,Harrisburg 41-2               ,1.0,Harrisburg High School                  ,228.0,170.0,228.0,170.0,1.0,1.0,,57032
Public School District,Secondary 9-12,14002,Henry 14-2,1,Henry High School - 01,111 N Cedar St,Henry,SD,57243,Henry SD,14002.0,Henry 14-2                    ,1.0,Henry High School                       ,15.0,11.0,15.0,11.0,1.0,1.0,,57243
Public School District,Secondary 9-12,10001,Herreid 10-1,1,Herreid High School - 01,302 Main St N,Herreid,SD,57632-0276,Herreid SD,10001.0,Herreid 10-1                  ,1.0,Herreid Hi Sch                          ,12.0,13.0,12.0,13.0,1.0,1.0,,57632
Public School District,Secondary 9-12,34002,Highmore-Harrold 34-2,1,Highmore High School - 01,415 Iowa Ave S,Highmore,SD,57345,Highmore SD,34002.0,Highmore-Harrold              ,1.0,Highmore-Harrold High School            ,22.0,19.0,22.0,19.0,1.0,1.0,,57345
Public School District,Secondary 9-12,51002,Hill City 51-2,1,Hill City High School - 01,341 Main St,Hill City,SD,57745,Hill City SD,51002.0,Hill City 51-2                ,1.0,Hill City High School                   ,29.0,38.0,29.0,38.0,1.0,1.0,,57745
Public School District,Secondary 9-12,56006,Hitchcock-Tulare 56-6,1,Hitchcock-Tulare High School - 01,401 4th Ave,Tulare,SD,57476,Tulare SD,56006.0,Hitchcock-Tulare              ,1.0,Hitchcock-Tulare HS                     ,15.0,12.0,15.0,12.0,1.0,1.0,,57476
Public School District,Secondary 9-12,23002,Hot Springs 23-2,1,Hot Springs High School - 01,110 N 16th St,Hot Springs,SD,57747-2126,Hot Springs SD,23002.0,Hot Springs 23-2              ,1.0,Hot Springs Hi Sch                      ,64.0,62.0,64.0,62.0,1.0,1.0,,57747
Public School District,Secondary 9-12,53002,Hoven 53-2,1,Hoven High School - 01,335 S Main St,Hoven,SD,57450-0128,Hoven SD,53002.0,Hoven 53-2                    ,1.0,Hoven High School                       ,8.0,11.0,8.0,11.0,1.0,1.0,,57450
Public School District,Secondary 9-12,48003,Howard 48-3,1,Howard High School - 01,500 N Section Line St,Howard,SD,57349,Howard SD,48003.0,Howard 48-3                   ,1.0,Howard Hi Sch                           ,27.0,26.0,27.0,26.0,1.0,1.0,,57349
Public School District,Secondary 9-12,2002,Huron 02-2,1,Huron High School - 01,701 18th St SW,Huron,SD,57350-0949,Huron SD,2002.0,Huron 02-2                    ,1.0,Huron High School                       ,170.0,133.0,170.0,133.0,1.0,1.0,,57350
Public School District,Aux Placement,2002,Huron 02-2,12,Our Home ASAP - 12,40354 210th St,Huron,SD,57350,Huron SD,2002.0,Huron 02-2                    ,12.0,Our Home ASAP                           ,4.0,4.0,4.0,4.0,1.0,1.0,,57350
Public School District,Secondary 9-12,22006,Ipswich Public 22-6,1,Ipswich High School - 01,510 2nd Ave,Ipswich,SD,57451-0306,Ipswich SD,22006.0,Ipswich Public 22-6           ,1.0,Ipswich Hi Sch                          ,26.0,23.0,26.0,23.0,1.0,1.0,,57451
Public School District,Secondary 9-12,13003,Irene-Wakonda 13-3,1,Irene-Wakonda High School - 01,130 E State St,Irene,SD,57037-0005,Irene SD,13003.0,Irene-Wakonda 13-3            ,1.0,Irene-Wakonda High School               ,31.0,20.0,31.0,20.0,1.0,1.0,,57037
Public School District,Secondary 9-12,2003,Iroquois 02-3,1,Iroquois High School - 01,111 E Washita St,Iroquois,SD,57353,Iroquois SD,2003.0,Iroquois 02-3                 ,1.0,Iroquois High School                    ,19.0,17.0,19.0,17.0,1.0,1.0,,57353
Public School District,Secondary 9-12,37003,Jones County 37-3,1,Jones County High School - 01,404 Jackson Ave,Murdo,SD,57559-0109,Murdo SD,37003.0,Jones County 37-3             ,1.0,Jones County HS                         ,8.0,11.0,8.0,11.0,1.0,1.0,,57559
Public School District,Secondary 9-12,35002,Kadoka Area 35-2,1,Kadoka Area High School - 01,800 Bayberry St,Kadoka,SD,57543-0099,Kadoka SD,35002.0,Kadoka Area 35-2              ,1.0,Kadoka Area HS                          ,19.0,26.0,19.0,26.0,1.0,1.0,,57543
Public School District,Secondary 9-12,7002,Kimball 07-2,15,Grass Ranch Colony High School - 15,36570 258th St,Kimball,SD,57355,Kimball SD,7002.0,Kimball 07-2                  ,15.0,Grass Ranch Colony High School          ,3.0,5.0,3.0,5.0,1.0,1.0,,57355
Public School District,Secondary 9-12,7002,Kimball 07-2,1,Kimball High School - 01,300 S East St,Kimball,SD,57355-0479,Kimball SD,7002.0,Kimball 07-2                  ,1.0,Kimball High School                     ,18.0,17.0,18.0,17.0,1.0,1.0,,57355
Public School District,Secondary 9-12,38003,Lake Preston 38-3,1,Lake Preston High School - 01,300 1st St NE,Lake Preston,SD,57249,Lake Preston SD,38003.0,Lake Preston 38-3             ,1.0,Lake Preston High School                ,11.0,14.0,11.0,14.0,1.0,1.0,,57249
Public School District,Secondary 9-12,45005,Langford Area 45-5,1,Langford Area High School - 01,206 Chestnut St,Langford,SD,57454,Langford SD,45005.0,Langford Area                 ,1.0,Langford Area HS                        ,16.0,13.0,16.0,13.0,1.0,1.0,,57454
Public School District,Secondary 9-12,40001,Lead-Deadwood 40-1,10,Lead-Deadwood Career & Technical Education - 10,22023 Job Corps Ctr,Nemo,SD,57759,Nemo SD,40001.0,Lead-Deadwood 40-1            ,10.0,Lead-Deadwood Career & Tech Ed          ,9.0,15.0,9.0,15.0,1.0,1.0,,57759
Public School District,Secondary 9-12,40001,Lead-Deadwood 40-1,1,Lead-Deadwood High School - 01,320 S Main St,Lead,SD,57754-1548,Lead SD,40001.0,Lead-Deadwood 40-1            ,1.0,Lead-Deadwood High School               ,55.0,55.0,55.0,55.0,1.0,1.0,,57754
Public School District,Secondary 9-12,52004,Lemmon 52-4,1,Lemmon High School - 01,209 3rd St W,Lemmon,SD,57638-1137,Lemmon SD,52004.0,Lemmon 52-4                   ,1.0,Lemmon High School                      ,20.0,24.0,20.0,24.0,1.0,1.0,,57638
Public School District,Secondary 9-12,41004,Lennox 41-4,1,Lennox High School - 01,1201 S Main St,Lennox,SD,57039,Lennox SD,41004.0,Lennox 41-4                   ,1.0,Lennox High School                      ,68.0,74.0,68.0,74.0,1.0,1.0,,57039
Public School District,Secondary 9-12,44002,Leola 44-2,1,Leola High School - 01,820 Leola Ave,Leola,SD,57456-0350,Leola SD,44002.0,Leola 44-2                    ,1.0,Leola High School                       ,9.0,9.0,9.0,9.0,1.0,1.0,,57456
Public School District,Secondary 9-12,42001,Lyman 42-1,1,Lyman High School - 01,201 S Birch Ave,Presho,SD,57568,Presho SD,42001.0,Lyman 42-1                    ,1.0,Lyman High School                       ,23.0,33.0,23.0,33.0,1.0,1.0,,57568
Public School District,Secondary 9-12,39002,Madison Central 39-2,1,Madison High School - 01,800 NE 9th St,Madison,SD,57042-1199,Madison SD,39002.0,Madison Central 39-2          ,1.0,Madison High School                     ,96.0,88.0,96.0,88.0,1.0,1.0,,57042
Public School District,Secondary 9-12,60003,Marion 60-3,1,Marion High School - 01,100 S Cedar St,Marion,SD,57043,Marion SD,60003.0,Marion 60-3                   ,1.0,Marion High School                      ,10.0,12.0,10.0,12.0,1.0,1.0,,57043
Public School District,Secondary 9-12,43007,McCook Central 43-7,1,McCook Central High School - 01,200 E Essex Ave,Salem,SD,57058-0310,Salem SD,43007.0,McCook Central 43-7           ,1.0,McCook Central Hi Sch                   ,33.0,33.0,33.0,33.0,1.0,1.0,,57058
Public School District,Secondary 9-12,15001,McIntosh 15-1,1,McIntosh High School - 01,135 Main St,McIntosh,SD,57641,McIntosh SD,15001.0,McIntosh 15-1                 ,1.0,McIntosh High School                    ,9.0,7.0,9.0,7.0,1.0,1.0,,57641
Public School District,Secondary 9-12,15002,McLaughlin 15-2,1,McLaughlin High School - 01,701 S Main St,McLaughlin,SD,57642,McLaughlin SD,15002.0,McLaughlin 15-2               ,1.0,McLaughlin High School                  ,23.0,21.0,23.0,21.0,1.0,1.0,,57642
Public School District,Secondary 9-12,46001,Meade 46-1,1,Sturgis Brown High School - 01,12930 E Hwy 34,Sturgis,SD,57785,Sturgis SD,46001.0,Meade 46-1                    ,1.0,Sturgis Brown HS                        ,151.0,157.0,151.0,157.0,1.0,1.0,,57785
Public School District,Secondary 9-12,33002,Menno 33-2,1,Menno High School - 01,410 S 5th St,Menno,SD,57045-0346,Menno SD,33002.0,Menno 33-2                    ,1.0,Menno High School                       ,16.0,11.0,16.0,11.0,1.0,1.0,,57045
