DistrictType,SchoolType,DistrictNumber,DistrictName,SchoolNumber,SchoolName,SchoolAddress,SchoolCity,SchoolState,SchoolZip,District No.,District Name,School No.,School Name,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta
Public School District,Secondary 9-12,31001,Harding County 31-1,1,Harding County High School - 01,12474 Tipperary St,Buffalo,SD,57720,31001.0,Harding County 31-1           ,1.0,Harding County High School              ,15.0,12.0,14.0,22.0,1.0714285714285714,0.5454545454545454
Public School District,Secondary 9-12,41002,Harrisburg 41-2,1,Harrisburg High School - 01,1300 W Willow St,Harrisburg,SD,57032,41002.0,Harrisburg 41-2               ,1.0,Harrisburg High School                  ,233.0,231.0,228.0,170.0,1.0219298245614035,1.3588235294117648
Public School District,Secondary 9-12,14002,Henry 14-2,1,Henry High School - 01,111 N Cedar St,Henry,SD,57243,14002.0,Henry 14-2                    ,1.0,Henry High School                       ,15.0,14.0,15.0,11.0,1.0,1.2727272727272727
Public School District,Secondary 9-12,10001,Herreid 10-1,1,Herreid High School - 01,302 Main St N,Herreid,SD,57632-0276,10001.0,Herreid 10-1                  ,1.0,Herreid Hi Sch                          ,12.0,11.0,12.0,13.0,1.0,0.8461538461538461
Public School District,Secondary 9-12,34002,Highmore-Harrold 34-2,1,Highmore High School - 01,415 Iowa Ave S,Highmore,SD,57345,34002.0,Highmore-Harrold              ,1.0,Highmore-Harrold High School            ,21.0,19.0,22.0,19.0,0.9545454545454546,1.0
Public School District,Secondary 9-12,51002,Hill City 51-2,1,Hill City High School - 01,341 Main St,Hill City,SD,57745,51002.0,Hill City 51-2                ,1.0,Hill City High School                   ,42.0,28.0,29.0,38.0,1.4482758620689655,0.7368421052631579
Public School District,Secondary 9-12,56006,Hitchcock-Tulare 56-6,1,Hitchcock-Tulare High School - 01,401 4th Ave,Tulare,SD,57476,56006.0,Hitchcock-Tulare              ,1.0,Hitchcock-Tulare HS                     ,11.0,16.0,15.0,12.0,0.7333333333333333,1.3333333333333333
Public School District,Secondary 9-12,23002,Hot Springs 23-2,1,Hot Springs High School - 01,110 N 16th St,Hot Springs,SD,57747-2126,23002.0,Hot Springs 23-2              ,1.0,Hot Springs Hi Sch                      ,74.0,62.0,64.0,62.0,1.15625,1.0
Public School District,Secondary 9-12,53002,Hoven 53-2,1,Hoven High School - 01,335 S Main St,Hoven,SD,57450-0128,53002.0,Hoven 53-2                    ,1.0,Hoven High School                       ,10.0,8.0,8.0,11.0,1.25,0.7272727272727273
Public School District,Secondary 9-12,48003,Howard 48-3,1,Howard High School - 01,500 N Section Line St,Howard,SD,57349,48003.0,Howard 48-3                   ,1.0,Howard Hi Sch                           ,28.0,30.0,27.0,26.0,1.037037037037037,1.1538461538461537
Public School District,Secondary 9-12,2002,Huron 02-2,1,Huron High School - 01,701 18th St SW,Huron,SD,57350-0949,2002.0,Huron 02-2                    ,1.0,Huron High School                       ,159.0,137.0,170.0,133.0,0.9352941176470588,1.0300751879699248
Public School District,Aux Placement,2002,Huron 02-2,12,Our Home ASAP - 12,40354 210th St,Huron,SD,57350,2002.0,Huron 02-2                    ,12.0,Our Home ASAP                           ,10.0,5.0,4.0,4.0,2.5,1.25
Public School District,Secondary 9-12,22006,Ipswich Public 22-6,1,Ipswich High School - 01,510 2nd Ave,Ipswich,SD,57451-0306,22006.0,Ipswich Public 22-6           ,1.0,Ipswich Hi Sch                          ,31.0,20.0,26.0,23.0,1.1923076923076923,0.8695652173913043
Public School District,Secondary 9-12,13003,Irene-Wakonda 13-3,1,Irene-Wakonda High School - 01,130 E State St,Irene,SD,57037-0005,13003.0,Irene-Wakonda 13-3            ,1.0,Irene-Wakonda High School               ,17.0,28.0,31.0,20.0,0.5483870967741935,1.4
Public School District,Secondary 9-12,2003,Iroquois 02-3,1,Iroquois High School - 01,111 E Washita St,Iroquois,SD,57353,2003.0,Iroquois 02-3                 ,1.0,Iroquois High School                    ,12.0,20.0,19.0,17.0,0.631578947368421,1.1764705882352942
Public School District,Secondary 9-12,37003,Jones County 37-3,1,Jones County High School - 01,404 Jackson Ave,Murdo,SD,57559-0109,37003.0,Jones County 37-3             ,1.0,Jones County HS                         ,13.0,8.0,8.0,11.0,1.625,0.7272727272727273
Public School District,Secondary 9-12,35002,Kadoka Area 35-2,1,Kadoka Area High School - 01,800 Bayberry St,Kadoka,SD,57543-0099,35002.0,Kadoka Area 35-2              ,1.0,Kadoka Area HS                          ,16.0,17.0,19.0,26.0,0.8421052631578947,0.6538461538461539
Public School District,Secondary 9-12,7002,Kimball 07-2,15,Grass Ranch Colony High School - 15,36570 258th St,Kimball,SD,57355,7002.0,Kimball 07-2                  ,15.0,Grass Ranch Colony High School          ,1.0,4.0,3.0,5.0,0.3333333333333333,0.8
Public School District,Secondary 9-12,7002,Kimball 07-2,1,Kimball High School - 01,300 S East St,Kimball,SD,57355-0479,7002.0,Kimball 07-2                  ,1.0,Kimball High School                     ,22.0,16.0,18.0,17.0,1.2222222222222223,0.9411764705882353
Public School District,Secondary 9-12,38003,Lake Preston 38-3,1,Lake Preston High School - 01,300 1st St NE,Lake Preston,SD,57249,38003.0,Lake Preston 38-3             ,1.0,Lake Preston High School                ,8.0,13.0,11.0,14.0,0.7272727272727273,0.9285714285714286
Public School District,Secondary 9-12,45005,Langford Area 45-5,1,Langford Area High School - 01,206 Chestnut St,Langford,SD,57454,45005.0,Langford Area                 ,1.0,Langford Area HS                        ,17.0,17.0,16.0,13.0,1.0625,1.3076923076923077
Public School District,Secondary 9-12,40001,Lead-Deadwood 40-1,10,Lead-Deadwood Career & Technical Education - 10,22023 Job Corps Ctr,Nemo,SD,57759,40001.0,Lead-Deadwood 40-1            ,10.0,Lead-Deadwood Career & Tech Ed          ,20.0,6.0,9.0,15.0,2.2222222222222223,0.4
Public School District,Secondary 9-12,40001,Lead-Deadwood 40-1,1,Lead-Deadwood High School - 01,320 S Main St,Lead,SD,57754-1548,40001.0,Lead-Deadwood 40-1            ,1.0,Lead-Deadwood High School               ,46.0,54.0,55.0,55.0,0.8363636363636363,0.9818181818181818
Public School District,Secondary 9-12,52004,Lemmon 52-4,1,Lemmon High School - 01,209 3rd St W,Lemmon,SD,57638-1137,52004.0,Lemmon 52-4                   ,1.0,Lemmon High School                      ,14.0,20.0,20.0,24.0,0.7,0.8333333333333334
Public School District,Secondary 9-12,41004,Lennox 41-4,1,Lennox High School - 01,1201 S Main St,Lennox,SD,57039,41004.0,Lennox 41-4                   ,1.0,Lennox High School                      ,72.0,63.0,68.0,74.0,1.0588235294117647,0.8513513513513513
Public School District,Secondary 9-12,44002,Leola 44-2,1,Leola High School - 01,820 Leola Ave,Leola,SD,57456-0350,44002.0,Leola 44-2                    ,1.0,Leola High School                       ,11.0,12.0,9.0,9.0,1.2222222222222223,1.3333333333333333
Public School District,Secondary 9-12,42001,Lyman 42-1,1,Lyman High School - 01,201 S Birch Ave,Presho,SD,57568,42001.0,Lyman 42-1                    ,1.0,Lyman High School                       ,20.0,19.0,23.0,33.0,0.8695652173913043,0.5757575757575758
Public School District,Secondary 9-12,39002,Madison Central 39-2,1,Madison High School - 01,800 NE 9th St,Madison,SD,57042-1199,39002.0,Madison Central 39-2          ,1.0,Madison High School                     ,87.0,95.0,96.0,88.0,0.90625,1.0795454545454546
Public School District,Secondary 9-12,60003,Marion 60-3,1,Marion High School - 01,100 S Cedar St,Marion,SD,57043,60003.0,Marion 60-3                   ,1.0,Marion High School                      ,13.0,14.0,10.0,12.0,1.3,1.1666666666666667
Public School District,Secondary 9-12,43007,McCook Central 43-7,1,McCook Central High School - 01,200 E Essex Ave,Salem,SD,57058-0310,43007.0,McCook Central 43-7           ,1.0,McCook Central Hi Sch                   ,25.0,34.0,33.0,33.0,0.7575757575757576,1.0303030303030303
Public School District,Secondary 9-12,15001,McIntosh 15-1,1,McIntosh High School - 01,135 Main St,McIntosh,SD,57641,15001.0,McIntosh 15-1                 ,1.0,McIntosh High School                    ,12.0,10.0,9.0,7.0,1.3333333333333333,1.4285714285714286
Public School District,Secondary 9-12,15002,McLaughlin 15-2,1,McLaughlin High School - 01,701 S Main St,McLaughlin,SD,57642,15002.0,McLaughlin 15-2               ,1.0,McLaughlin High School                  ,37.0,25.0,23.0,21.0,1.608695652173913,1.1904761904761905
Public School District,Secondary 9-12,46001,Meade 46-1,1,Sturgis Brown High School - 01,12930 E Hwy 34,Sturgis,SD,57785,46001.0,Meade 46-1                    ,1.0,Sturgis Brown HS                        ,145.0,127.0,151.0,157.0,0.9602649006622517,0.8089171974522293
Public School District,Secondary 9-12,33002,Menno 33-2,1,Menno High School - 01,410 S 5th St,Menno,SD,57045-0346,33002.0,Menno 33-2                    ,1.0,Menno High School                       ,19.0,15.0,16.0,11.0,1.1875,1.3636363636363635
Public School District,Secondary 9-12,25004,Milbank 25-4,1,Milbank High School - 01,1001 E Park Ave,Milbank,SD,57252,25004.0,Milbank 25-4                  ,1.0,Milbank High School                     ,70.0,94.0,89.0,89.0,0.7865168539325843,1.0561797752808988
Public School District,Secondary 9-12,29004,Miller 29-4,1,Miller High School - 01,623 E 4th St,Miller,SD,57362-0257,29004.0,Miller                        ,1.0,Miller High School                      ,32.0,26.0,25.0,26.0,1.28,1.0
Public School District,Secondary 9-12,17002,Mitchell 17-2,7,Abbott House High School - 07,909 Court Merrill St,Mitchell,SD,57301,17002.0,Mitchell 17-2                 ,7.0,Abbott House HS                         ,12.0,1.0,2.0,6.0,6.0,0.16666666666666666
Public School District,Secondary 9-12,17002,Mitchell 17-2,1,Mitchell High School - 01,920 N Capital St,Mitchell,SD,57301,17002.0,Mitchell 17-2                 ,1.0,Mitchell High School                    ,213.0,195.0,203.0,179.0,1.0492610837438423,1.089385474860335
Public School District,Secondary 9-12,62006,Mobridge-Pollock 62-6,1,Mobridge High School - 01,1107 1st Ave E,Mobridge,SD,57601,62006.0,Mobridge-Pollock 62-6         ,1.0,Mobridge High School                    ,43.0,57.0,58.0,54.0,0.7413793103448276,1.0555555555555556
Public School District,Secondary 9-12,43002,Montrose 43-2,1,Montrose High School - 01,309 S Church Ave,Montrose,SD,57048-9528,43002.0,Montrose 43-2                 ,1.0,Montrose High School                    ,13.0,19.0,19.0,14.0,0.6842105263157895,1.3571428571428572
Public School District,Secondary 9-12,17003,Mount Vernon 17-3,1,Mount Vernon High School- 01,500 N Main St,Mount Vernon,SD,57363-0046,17003.0,Mount Vernon 17-3             ,1.0,Mount Vernon High School                ,17.0,17.0,19.0,15.0,0.8947368421052632,1.1333333333333333
Public School District,Secondary 9-12,51003,New Underwood 51-3,1,New Underwood High School - 01,300 E Ash St,New Underwood,SD,57761,51003.0,New Underwood 51-3            ,1.0,New Underwood Hi Sch                    ,21.0,18.0,20.0,13.0,1.05,1.3846153846153846
Public School District,Secondary 9-12,9002,Newell 09-2,1,Newell High School - 01,501 Dartmouth Ave,Newell,SD,57760,9002.0,Newell 09-2                   ,1.0,Newell High School                      ,21.0,21.0,23.0,25.0,0.9130434782608695,0.84
Public School District,Secondary 9-12,56007,Northwestern Area 56-7,1,Northwestern High School - 01,221 3rd St,Mellette,SD,57461,56007.0,Northwestern Area 56-7        ,1.0,Northwestern High School                ,15.0,15.0,17.0,12.0,0.8823529411764706,1.25
