DistrictType,SchoolType,DistrictNumber,DistrictName,SchoolNumber,SchoolName,SchoolAddress,SchoolCity,SchoolState,SchoolZip,District No.,District Name,School No.,School Name,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta
Public School District,Aux Placement,49005,Sioux Falls 49-5,48,Summit Oaks-Residential - 48,621 E Presentation Ave,Sioux Falls,SD,57104,49005.0,Sioux Falls 49-5              ,48.0,Summit Oaks Residential Program         ,2.0,0.0,3.0,1.0,0.6666666666666666,0.0
Public School District,Secondary 9-12,49005,Sioux Falls 49-5,1,Washington High School - 01,501 N Sycamore Ave,Sioux Falls,SD,57110-6654,49005.0,Sioux Falls 49-5              ,1.0,Washington High School                  ,433.0,469.0,484.0,437.0,0.8946280991735537,1.0732265446224256
Public School District,Secondary 9-12,5005,Sioux Valley 05-5,1,Sioux Valley High School - 01,200 Hansina Ave,Volga,SD,57071-0278,5005.0,Sioux Valley 05-5             ,1.0,Sioux Valley High School                ,45.0,42.0,52.0,52.0,0.8653846153846154,0.8076923076923077
Public School District,Secondary 9-12,54002,Sisseton 54-2,1,Sisseton High School - 01,516 8th Ave W,Sisseton,SD,57262,54002.0,Sisseton 54-2                 ,1.0,Sisseton High School                    ,36.0,44.0,56.0,41.0,0.6428571428571429,1.0731707317073171
Public School District,Secondary 9-12,15003,Smee 15-3,1,Wakpala High School - 01,12250 SD Hwy 1806,Wakpala,SD,57658,15003.0,Smee 15-3                     ,1.0,Wakpala High School                     ,14.0,11.0,14.0,4.0,1.0,2.75
Public School District,Secondary 9-12,26005,South Central 26-5,1,South Central High School - 01,401 Birdsell St,Bonesteel,SD,57317,26005.0,South Central 26-5            ,1.0,South Central High School               ,9.0,5.0,6.0,5.0,1.5,1.0
Public School District,Secondary 9-12,40002,Spearfish 40-2,6,Black Hills Education Connections - 06,2910 4th Ave,Spearfish,SD,57783,40002.0,Spearfish 40-2                ,6.0,Black Hills Education Connections       ,12.0,12.0,9.0,14.0,1.3333333333333333,0.8571428571428571
Public School District,Secondary 9-12,40002,Spearfish 40-2,1,Spearfish High School - 01,1725 N Main,Spearfish,SD,57783,40002.0,Spearfish 40-2                ,1.0,Spearfish High School                   ,150.0,145.0,142.0,131.0,1.056338028169014,1.1068702290076335
Public School District,Secondary 9-12,57001,Stanley County 57-1,1,Stanley County High School - 01,10 E Main Ave,Fort Pierre,SD,57532,57001.0,Stanley County 57-1           ,1.0,Stanley County High School              ,39.0,38.0,38.0,28.0,1.0263157894736843,1.3571428571428572
Public School District,Secondary 9-12,54006,Summit 54-6,1,Summit High School- 01,400 W Sherman Ave,Summit,SD,57266,54006.0,Summit 54-6                   ,1.0,Summit High School                      ,12.0,9.0,8.0,8.0,1.5,1.125
Public School District,Secondary 9-12,41005,Tea Area 41-5,3,Tea Area High School - 03,500 W Brian St,Tea,SD,57064,41005.0,Tea Area 41-5                 ,3.0,Tea Area High School                    ,111.0,83.0,93.0,107.0,1.1935483870967742,0.7757009345794392
Public School District,Secondary 9-12,20003,Timber Lake 20-3,1,Timber Lake High School - 01,500 Main St,Timber Lake,SD,57656,20003.0,Timber Lake 20-3              ,1.0,Timber Lake High School 9-12            ,25.0,23.0,25.0,12.0,1.0,1.9166666666666667
Public School District,Secondary 9-12,66001,Todd County 66-1,1,Todd County High School - 01,118 E Denver Dr,Mission,SD,57555-0726,66001.0,Todd County 66-1              ,1.0,Todd County HS                          ,106.0,76.0,48.0,87.0,2.2083333333333335,0.8735632183908046
Public School District,Secondary 9-12,33005,Tripp-Delmont 33-5,1,Tripp-Delmont High School - 01,105 S Sloan St,Tripp,SD,57376,33005.0,Tripp-Delmont 33-5            ,1.0,Tripp-Delmont High School               ,10.0,16.0,16.0,10.0,0.625,1.6
Public School District,Secondary 9-12,49006,Tri-Valley 49-6,1,Tri-Valley High School - 01,46450 252nd St,Colton,SD,57018-5712,49006.0,Tri-Valley 49-6               ,1.0,Tri-Valley High School                  ,69.0,59.0,59.0,64.0,1.1694915254237288,0.921875
Public School District,Secondary 9-12,13001,Vermillion 13-1,1,Vermillion High School - 01,1001 E Main St,Vermillion,SD,57069-3314,13001.0,Vermillion 13-1               ,1.0,Vermillion High School                  ,104.0,102.0,101.0,85.0,1.0297029702970297,1.2
Public School District,Secondary 9-12,60006,Viborg-Hurley 60-6,1,Viborg-Hurley High School - 01,203 W Park Ave,Viborg,SD,57070,60006.0,Viborg-Hurley 60-6            ,1.0,Viborg-Hurley High School               ,29.0,33.0,32.0,27.0,0.90625,1.2222222222222223
Public School District,Secondary 9-12,11004,Wagner Community 11-4,1,Wagner High School - 01,101 Walnut Ave SW,Wagner,SD,57380,11004.0,Wagner Community 11-4         ,1.0,Wagner High School                      ,43.0,36.0,56.0,51.0,0.7678571428571429,0.7058823529411765
Public School District,Secondary 9-12,51005,Wall 51-5,1,Wall High School - 01,401 S Blvd W,Wall,SD,57790,51005.0,Wall 51-5                     ,1.0,Wall High School                        ,20.0,17.0,16.0,23.0,1.25,0.7391304347826086
Public School District,Secondary 9-12,6005,Warner 06-5,1,Warner High School - 01,110 1st Ave SW,Warner,SD,57479,6005.0,Warner 06-5                   ,1.0,Warner Hi Sch                           ,21.0,24.0,25.0,24.0,0.84,1.0
Public School District,Secondary 9-12,14004,Watertown 14-4,1,Watertown High School - 01,200 NE 9th St,Watertown,SD,57201-0730,14004.0,Watertown 14-4                ,1.0,Watertown High School                   ,304.0,298.0,296.0,317.0,1.027027027027027,0.9400630914826499
Public School District,Secondary 9-12,18003,Waubay 18-3,1,Waubay High School - 01,202 W School Rd,Waubay,SD,57273-2134,18003.0,Waubay 18-3                   ,1.0,Waubay Hi Sch                           ,10.0,7.0,9.0,11.0,1.1111111111111112,0.6363636363636364
Public School District,Secondary 9-12,14005,Waverly 14-5,1,Waverly-South Shore High School - 01,319 Mary Pl,Waverly,SD,57201-9700,14005.0,Waverly 14-5                  ,1.0,Waverly/South Shore High School         ,18.0,17.0,20.0,23.0,0.9,0.7391304347826086
Public School District,Secondary 9-12,18005,Webster Area 18-5,1,Webster Area High School - 01,102 E 9th Ave,Webster,SD,57274,18005.0,Webster Area                  ,1.0,Webster Area High School                ,30.0,34.0,32.0,52.0,0.9375,0.6538461538461539
Public School District,Secondary 9-12,36002,Wessington Springs 36-2,1,Wessington Springs High School - 01,302 Dakota Ave N,Wessington Springs,SD,57382-0449,36002.0,Wessington Springs 36-2       ,1.0,Wessington Springs Hi Sch               ,20.0,17.0,18.0,11.0,1.1111111111111112,1.5454545454545454
Public School District,Virtual Secondary 9-12,36002,Wessington Springs 36-2,92,Wessington Springs High School Cyber School - 92,302 Dakota Ave N,Wessington Springs,SD,57382 ,36002.0,Wessington Springs 36-2       ,92.0,Wessington Springs High School Cyber Sch,4.0,7.0,6.0,10.0,0.6666666666666666,0.7
Public School District,Aux Placement,49007,West Central 49-7,7,Sequel Transition Academy - 07,46560 264th St,Sioux Falls,SD,57107,49007.0,West Central 49-7             ,7.0,Sequel Transition Academy               ,11.0,2.0,4.0,5.0,2.75,0.4
Public School District,Secondary 9-12,49007,West Central 49-7,1,West Central High School - 01,705 E 2nd St,Hartford,SD,57033-0730,49007.0,West Central 49-7             ,1.0,West Central Hi Sch                     ,104.0,100.0,110.0,78.0,0.9454545454545454,1.2820512820512822
Public School District,Secondary 9-12,1003,White Lake 01-3,1,White Lake High School - 01,502 E Division St,White Lake,SD,57383-0246,1003.0,White Lake 01-3               ,1.0,White Lake High School                  ,8.0,9.0,9.0,11.0,0.8888888888888888,0.8181818181818182
Public School District,Secondary 9-12,47001,White River 47-1,1,White River High School - 01,501 E 3rd St,White River,SD,57579,47001.0,White River 47-1              ,1.0,White River High School                 ,21.0,24.0,25.0,29.0,0.84,0.8275862068965517
Public School District,Secondary 9-12,12003,Willow Lake 12-3,1,Willow Lake High School - 01,400 Garfield Ave,Willow Lake,SD,57278,12003.0,Willow Lake 12-3              ,1.0,Willow Lake Hi Sch                      ,13.0,14.0,16.0,13.0,0.8125,1.0769230769230769
Public School District,Secondary 9-12,54007,Wilmot 54-7,1,Wilmot High School - 01,800 Ordway St,Wilmot,SD,57279,54007.0,Wilmot 54-7                   ,1.0,Wilmot Hi Sch                           ,20.0,17.0,19.0,18.0,1.0526315789473684,0.9444444444444444
Public School District,Secondary 9-12,59002,Winner 59-2,1,Winner High School - 01,431 E 7th St,Winner,SD,57580,59002.0,Winner 59-2                   ,1.0,Winner High School                      ,41.0,45.0,42.0,54.0,0.9761904761904762,0.8333333333333334
Public School District,Secondary 9-12,2006,Wolsey-Wessington 02-6,1,Wolsey-Wessington High School - 01,375 Ash St SE,Wolsey,SD,57384,2006.0,Wolsey-Wessington 02-6        ,1.0,Wolsey-Wessington High School           ,34.0,24.0,25.0,24.0,1.36,1.0
Public School District,Secondary 9-12,55004,Woonsocket 55-4,1,Woonsocket High School - 01,101 N 2nd Ave,Woonsocket,SD,57385,55004.0,Woonsocket 55-4               ,1.0,Woonsocket High School                  ,14.0,17.0,16.0,15.0,0.875,1.1333333333333333
Public School District,Secondary 9-12,63003,Yankton 63-3,1,Yankton High School - 01,1801 Summit St,Yankton,SD,57078,63003.0,Yankton 63-3                  ,1.0,Yankton Hi Sch                          ,228.0,216.0,197.0,246.0,1.1573604060913705,0.8780487804878049
