,StateIssuedID,LEA Name,School Name,Site Address,Site City,Site St,Site ZIP,SchNo,SchoolName,Gr11,Gr12
233,35-005-7616,,Rugby Ely Elem School,207 2nd St SW,Rugby,ND,58368,35-005-7616,Rugby Ely Elem School,0,0
234,36-001-1829,,Devils Lake High School,1601 College Drive N,Devils Lake,ND,58301,36-001-1829,Devils Lake High School,120,111
235,36-001-1833,,Central Middle School,325 7th St NE,Devils Lake,ND,58301,36-001-1833,Central Middle School,0,0
236,36-001-5743,,Minnie H Kindergarten Center,210 College Drive S,Devils Lake,ND,58301,36-001-5743,Minnie H Kindergarten Center,0,0
237,36-001-7178,,Prairie View Elem School,200 12th Ave NE,Devils Lake,ND,58301,36-001-7178,Prairie View Elem School,0,0
238,36-001-8280,,Sweetwater Elem School,1304 2nd Ave NE,Devils Lake,ND,58301,36-001-8280,Sweetwater Elem School,0,0
239,36-002-2113,,Edmore Public School,706 N Main St,Edmore,ND,58330,36-002-2113,Edmore Public School,4,5
240,36-044-8230,,Starkweather Public School,505 E Main,Starkweather,ND,58377,36-044-8230,Starkweather Public School,2,1
241,37-006-2898,,Ft Ransom Elem School,135 Mill Rd,Fort Ransom,ND,58033,37-006-2898,Ft Ransom Elem School,0,0
242,37-019-5290,,Lisbon Elem School,502 Ash St,Lisbon,ND,58054,37-019-5290,Lisbon Elem School,0,0
243,37-019-5293,,Lisbon Middle School,502 Elm St,Lisbon,ND,58054,37-019-5293,Lisbon Middle School,0,0
244,37-019-5296,,Lisbon High School,502 Ash St,Lisbon,ND,58054,37-019-5296,Lisbon High School,44,45
245,37-024-2387,,Enderlin Area Public School,410 Bluff St,Enderlin,ND,58027,37-024-2387,Enderlin Area Public School,19,23
246,37-024-3252,,Grant Colony School,5543 129th Ave SE,Enderlin,ND,58027,37-024-3252,Grant Colony School,0,0
247,38-001-5778,,MLS-Mohall Public School,101 3rd St NW,Mohall,ND,58761,38-001-5778,MLS-Mohall Public School,25,16
248,38-026-3169,,Glenburn Public School,102 Raymond St,Glenburn,ND,58740,38-026-3169,Glenburn Public School,18,22
249,39-008-3432,,Hankinson Public School,415 1st Ave SE,Hankinson,ND,58041,39-008-3432,Hankinson Public School,20,14
250,39-018-2739,,Fairmount Public School,400 E Main,Fairmount,ND,58030,39-018-2739,Fairmount Public School,7,3
251,39-028-5260,,Lidgerwood Public School,28 3rd Ave SE,Lidgerwood,ND,58053,39-028-5260,Lidgerwood Public School,11,20
252,39-037-1362,,Wahpeton Elem School,1235 12th St N,Wahpeton,ND,58075,39-037-1362,Wahpeton Elem School,0,0
253,39-037-1363,,Wahpeton Middle School,1265 12th St N,Wahpeton,ND,58075,39-037-1363,Wahpeton Middle School,0,0
