,StateIssuedID,LEA Name,School Name,Site Address,Site City,Site St,Site ZIP,SchNo,SchoolName,Gr11,Gr12
28,08-001-1897,,Dorothy Moses Elem School,1312 S Columbia Dr,Bismarck,ND,58504,08-001-1897,Dorothy Moses Elem School,0,0
29,08-001-3282,,Grimsrud Elem School,716 W St Benedict Dr,Bismarck,ND,58501,08-001-3282,Grimsrud Elem School,0,0
30,08-001-3612,,Highland Acres Elem School,1200 Prairie Dr,Bismarck,ND,58501,08-001-3612,Highland Acres Elem School,0,0
31,08-001-3795,,Horizon Middle School,500 Ash Coulee Dr,Bismarck,ND,58503,08-001-3795,Horizon Middle School,0,0
32,08-001-4580,,Jeannette Myhre Elem School,919 S 12th St,Bismarck,ND,58504,08-001-4580,Jeannette Myhre Elem School,0,0
33,08-001-5199,,Legacy High School,3400 Calgary Ave,Bismarck,ND,58503,08-001-5199,Legacy High School,276,267
34,08-001-5255,,Liberty Elem School,5400 Onyx Dr,Bismarck,ND,58503,08-001-5255,Liberty Elem School,0,0
35,08-001-5276,,Prairie Rose Elem School,2200 Oahe Bend,Bismarck,ND,58504,08-001-5276,Prairie Rose Elem School,0,0
36,08-001-5286,,Lincoln Elem School,3320 McCurry Way,Lincoln,ND,58504,08-001-5286,Lincoln Elem School,0,0
37,08-001-6129,,Robert Place Miller Elem School,1989 N 20th St,Bismarck,ND,58501,08-001-6129,Robert Place Miller Elem School,0,0
38,08-001-6132,,Northridge Elem School,1727 N 3rd St,Bismarck,ND,58501,08-001-6132,Northridge Elem School,0,0
39,08-001-7090,,Pioneer Elem School,1400 Braman Ave,Bismarck,ND,58501,08-001-7090,Pioneer Elem School,0,0
40,08-001-7472,,Rita Murphy Elem School,611 N 31st St,Bismarck,ND,58501,08-001-7472,Rita Murphy Elem School,0,0
41,08-001-7561,,Roosevelt Elem School,613 W Avenue B,Bismarck,ND,58501,08-001-7561,Roosevelt Elem School,0,0
42,08-001-7900,,Simle Middle School,1215 N 19th St,Bismarck,ND,58501,08-001-7900,Simle Middle School,0,0
43,08-001-8038,,Victor Solheim Elem School,325 Munich Dr,Bismarck,ND,58504,08-001-8038,Victor Solheim Elem School,0,0
44,08-001-8050,,South Central Alt High School,406 S Anderson St,Bismarck,ND,58504,08-001-8050,South Central Alternative High School,47,40
45,08-001-8263,,Sunrise Elem School,3800 Nickerson Ave,Bismarck,ND,58503,08-001-8263,Sunrise Elem School,0,0
46,08-001-9160,,BECEP Center,720 N 14th St,Bismarck,ND,58501,08-001-9160,BECEP Center,0,0
47,08-001-9163,,Wachter Middle School,1107 S 7th St,Bismarck,ND,58504,08-001-9163,Wachter Middle School,0,0
48,08-001-9414,,Will-Moore Elem School,400 E Avenue E,Bismarck,ND,58501,08-001-9414,Will-Moore Elem School,0,0
49,08-025-5985,,Naughton School,9101 123rd Ave NE,Bismarck,ND,58503,08-025-5985,Naughton School,0,0
50,08-028-9470,,Wing Public School,4th and Main,Wing,ND,58494,08-028-9470,Wing Public School,8,4
51,08-033-5666,,Menoken Elem School,412 N Bismarck St,Menoken,ND,58558,08-033-5666,Menoken Elem School,0,0
52,08-035-8236,,Sterling Elem School,118 McKenzie St,Sterling,ND,58572,08-035-8236,Sterling Elem School,0,0
53,08-039-0486,,Apple Creek School,2000 93rd St SE,Bismarck,ND,58504,08-039-0486,Apple Creek School,0,0
54,08-045-5466,,Manning School,10500 Hwy 1804 S,Bismarck,ND,58504,08-045-5466,Manning School,0,0
55,09-001-0713,,Ben Franklin Middle School,1420 8th St N,Fargo,ND,58102,09-001-0713,Ben Franklin Middle School,0,0
56,09-001-0898,,Bennett Elem School,2000 S 58th Ave,Fargo,ND,58104,09-001-0898,Bennett Elem School,0,0
57,09-001-1292,,Carl Ben Eielson Middle School,1601 13th Ave S,Fargo,ND,58103,09-001-1292,Carl Ben Eielson Middle School,0,0
58,09-001-1418,,Clara Barton Hawthorne Elem School,1417 6th St S,Fargo,ND,58103,09-001-1418,Clara Barton Hawthorne Elem School,0,0
59,09-001-1740,,Fargo Davies High School,7150 25th St S,Fargo,ND,58104,09-001-1740,Fargo Davies High School,288,311
60,09-001-1855,,Discovery Middle School,1717 40th Ave S,Fargo,ND,58104,09-001-1855,Discovery Middle School,0,0
61,09-001-2080,,Eagles Elem School,3502 University Dr,Fargo,ND,58104,09-001-2080,Eagles Elem School,0,0
62,09-001-2104,,Ed Clapp Elem School,3131 S 28th St,Fargo,ND,58103,09-001-2104,Ed Clapp Elem School,0,0
63,09-001-2744,,South High School,1840 15th Ave S,Fargo,ND,58103,09-001-2744,South High School,241,261
64,09-001-2789,,Centennial Elem School,4201 25th St S,Fargo,ND,58104,09-001-2789,Centennial Elem School,0,0
65,09-001-3733,,Horace Mann Roosevelt Elem School,1025 3rd St N,Fargo,ND,58102,09-001-3733,Horace Mann Roosevelt Elem School,0,0
66,09-001-4598,,Jefferson Elem School,1701 4th Ave S,Fargo,ND,58103,09-001-4598,Jefferson Elem School,0,0
67,09-001-4883,,Kennedy Elem School,4401 42nd St S,Fargo,ND,58104,09-001-4883,Kennedy Elem School,0,0
68,09-001-4932,,Early Childhood Special Education School,1305 9th Ave S,Fargo,ND,58103,09-001-4932,Early Childhood Special Education School,0,0
69,09-001-5222,,Lewis and Clark Elem School,1729 16th St S,Fargo,ND,58103,09-001-5222,Lewis and Clark Elem School,0,0
70,09-001-5277,,Lincoln Elem School,2120 9th St S,Fargo,ND,58103,09-001-5277,Lincoln Elem School,0,0
71,09-001-5324,,Longfellow Elem School,20 29th Ave NE,Fargo,ND,58102,09-001-5324,Longfellow Elem School,0,0
72,09-001-5435,,Madison Elem School,1040 N 29th St,Fargo,ND,58102,09-001-5435,Madison Elem School,0,0
73,09-001-5625,,McKinley Elem School,2930 8th St N,Fargo,ND,58102,09-001-5625,McKinley Elem School,0,0
74,09-001-6125,,North High School,801 17th Ave N,Fargo,ND,58102,09-001-6125,North High School,263,191
75,09-001-9243,,Washington Elem School,1725 N Broadway,Fargo,ND,58102,09-001-9243,Washington Elem School,0,0
76,09-001-9516,,Woodrow Wilson Alt High School,1305 9th Ave S,Fargo,ND,58103,09-001-9516,Woodrow Wilson Alternative High School,44,103
77,09-002-4933,,Kindred Elem School,55 1st Ave S,Kindred,ND,58051,09-002-4933,Kindred Elem School,0,0
78,09-002-4934,,Kindred High School,255 Dakota St,Kindred,ND,58051,09-002-4934,Kindred High School,51,41
79,09-004-1148,,Maple Valley High School,207 Broadway,Tower City,ND,58071,09-004-1148,Maple Valley High School,13,18
80,09-004-6641,,Oriska Elem School,502 2nd Ave,Oriska,ND,58063,09-004-6641,Oriska Elem School,0,0
81,09-004-9310,,West Elem School,400 Dakota Ave NW,Buffalo,ND,58011,09-004-9310,West Elem School,0,0
82,09-004-9360,,Wheatland Colony School,3361 134th Ave SE,Tower City,ND,58071,09-004-9360,Wheatland Colony School,0,0
83,09-006-0545,,Aurora Elem School,3420 9th St W,West Fargo,ND,58078,09-006-0545,Aurora Elem School,0,0
84,09-006-1062,,Brooks Harbor Elem School,801 22nd Ave W,West Fargo,ND,58078,09-006-1062,Brooks Harbor Elem School,0,0
85,09-006-2100,,Clayton A Lodoen Kindergarten Center,330 3rd Ave E,West Fargo,ND,58078,09-006-2100,Clayton A Lodoen Kindergarten Center,0,0
86,09-006-2752,,Eastwood Elem School,500 10th Ave E,West Fargo,ND,58078,09-006-2752,Eastwood Elem School,0,0
87,09-006-2896,,Freedom Elem School,401 26th Ave E,West Fargo,ND,58078,09-006-2896,Freedom Elem School,0,0
88,09-006-3500,,Harwood Elem School,110 Freedland Dr,Harwood,ND,58042,09-006-3500,Harwood Elem School,0,0
89,09-006-3738,,Horace Elem School,110 3rd Ave N,Horace,ND,58047,09-006-3738,Horace Elem School,0,0
90,09-006-5071,,L E Berger Elem School,631 4th Ave E,West Fargo,ND,58078,09-006-5071,L E Berger Elem School,0,0
91,09-006-5090,,Cheney Middle School,825 17th Ave E,West Fargo,ND,58078,09-006-5090,Cheney Middle School,0,0
92,09-006-5201,,Legacy Elem School,5150 9th St W,West Fargo,ND,58078,09-006-5201,Legacy Elem School,0,0
93,09-006-5258,,Liberty Middle School,801 36th Ave E,West Fargo,ND,58078,09-006-5258,Liberty Middle School,0,0
94,09-006-7865,,West Fargo Sheyenne High School,800 40th Ave E,West Fargo,ND,58078,09-006-7865,West Fargo Sheyenne High School,295,297
95,09-006-8054,,South Elem School,117 6th Ave W,West Fargo,ND,58078,09-006-8054,South Elem School,0,0
96,09-006-8061,,Osgood Kindergarten Center,5550 44th Ave S,Fargo,ND,58104,09-006-8061,Osgood Kindergarten Center,0,0
97,09-006-9315,,West Fargo High School,801 9th St E,West Fargo,ND,58078,09-006-9315,West Fargo High School,378,359
98,09-006-9316,,Independence Elem School,3700 54th St S,Fargo,ND,58104,09-006-9316,Independence Elem School,0,0
99,09-006-9350,,Westside Elem School,945 7th Ave W,West Fargo,ND,58078,09-006-9350,Westside Elem School,0,0
100,09-007-5479,,Mapleton Elem School,506 1st St,Mapleton,ND,58059,09-007-5479,Mapleton Elem School,0,0
101,09-017-1354,,Central Cass Public School,802 5th St N,Casselton,ND,58012,09-017-1354,Central Cass Public School,69,45
102,09-080-6882,,Page Elem School,630 May Ave,Page,ND,58064,09-080-6882,Page Elem School,0,0
103,09-097-6121,,Northern Cass Public School,16021 18th St SE,Hunter,ND,58048,09-097-6121,Northern Cass Public School,39,45
104,10-019-5895,,Munich Public School,410 7th Ave,Munich,ND,58352,10-019-5895,Munich Public School,6,8
105,10-023-5153,,Langdon Area High School,715 14th Ave,Langdon,ND,58249,10-023-5153,Langdon Area High School,24,23
106,10-023-5154,,Langdon Area Elem School,721 11th Ave,Langdon,ND,58249,10-023-5154,Langdon Area Elem School,0,0
107,11-040-2333,,Ellendale Public School,321 N 1st St,Ellendale,ND,58436,11-040-2333,Ellendale Public School,22,29
108,11-040-5481,,Maple River Elem School,9262 93rd Ave SE,Fullerton,ND,58441,11-040-5481,Maple River Elem School,0,0
109,11-041-3308,,Oakes Elem School,804 Main Ave,Oakes,ND,58474,11-041-3308,Oakes Elem School,0,0
110,11-041-6215,,Oakes High School,804 Main Ave,Oakes,ND,58474,11-041-6215,Oakes High School,26,39
111,12-001-1860,,Divide County Elem School,101 2nd St NE,Crosby,ND,58730,12-001-1860,Divide County Elem School,0,0
112,12-001-1866,,Divide County High School,605 SE 4th,Crosby,ND,58730,12-001-1866,Divide County High School,18,30
113,13-016-4927,,Killdeer Public School,101 High St NW,Killdeer,ND,58640,13-016-4927,Killdeer Public School,30,30
114,13-019-3390,,Halliday Elem School,30 4th St S,Halliday,ND,58636,13-019-3390,Halliday Elem School,0,0
115,13-037-8582,,Twin Buttes Elem School,7997 7A St NW,Halliday,ND,58636,13-037-8582,Twin Buttes Elem School,0,0
116,14-002-5971,,New Rockford-Sheyenne Public School,437 1st Ave N,New Rockford,ND,58356,14-002-5971,New Rockford-Sheyenne Public School,26,17
117,15-006-3525,,Hazelton-Mof-Brad Public School,211 Hazel Ave,Hazelton,ND,58544,15-006-3525,Hazelton-Mof-Brad Public School,11,4
118,15-010-0772,,Bakker Elem School,880 96th St SE,Hague,ND,58542,15-010-0772,Bakker Elem School,0,0
119,15-015-8247,,Strasburg Elem School,301 1st St N,Strasburg,ND,58573,15-015-8247,Strasburg Elem School,0,0
120,15-015-8248,,Strasburg High School,301 1st St N,Strasburg,ND,58573,15-015-8248,Strasburg High School,9,11
121,15-036-5288,,Linton Public School,101 NE 3rd St,Linton,ND,58552,15-036-5288,Linton Public School,22,18
122,16-049-1303,,Carrington Elem School,232 9th Ave N,Carrington,ND,58421,16-049-1303,Carrington Elem School,0,0
123,16-049-1304,,Carrington High School,100 3rd Ave S,Carrington,ND,58421,16-049-1304,Carrington High School,44,36
124,17-003-0850,,Beach High School,600 N Central Ave,Beach,ND,58621,17-003-0850,Beach High School,26,25
125,17-003-5278,,Lincoln Elem School,201 1st Ave SE,Beach,ND,58621,17-003-5278,Lincoln Elem School,0,0
126,17-006-3191,,Golva Elem School,301 Terrell Ave,Golva,ND,58632,17-006-3191,Golva Elem School,0,0
127,18-001-0892,,Phoenix Elem School,351 4th Ave S,Grand Forks,ND,58201,18-001-0892,Phoenix Elem School,0,0
128,18-001-0896,,Ben Franklin Elem School,1016 S 20th St,Grand Forks,ND,58201,18-001-0896,Ben Franklin Elem School,0,0
129,18-001-1364,,Century Elem School,3351 17th Ave S,Grand Forks,ND,58201,18-001-1364,Century Elem School,0,0
130,18-001-1530,,Community Alt High School,500 Stanford Road,Grand Forks,ND,58203,18-001-1530,Community Alternative High School,22,54
131,18-001-1856,,Discovery Elem School,3300 43rd Ave S,Grand Forks,ND,58201,18-001-1856,Discovery Elem School,0,0
132,18-001-3239,,Central High School,115 N 4th St,Grand Forks,ND,58203,18-001-3239,Central High School,224,236
133,18-001-4499,,J Nelson Kelly Elem School,3000 Cherry St,Grand Forks,ND,58201,18-001-4499,J Nelson Kelly Elem School,0,0
134,18-001-5125,,Lake Agassiz Elem School,605 Stanford Rd,Grand Forks,ND,58203,18-001-5125,Lake Agassiz Elem School,0,0
135,18-001-5225,,Lewis and Clark Elem School,1100 13th Ave S,Grand Forks,ND,58201,18-001-5225,Lewis and Clark Elem School,0,0
136,18-001-5983,,Nathan Twining Elem-Middle School,1422 N Louisiana St,Grand Forks AFB,ND,58204,18-001-5983,Nathan Twining Elem-Middle School,0,0
137,18-001-7360,,Red River High School,2211 17th Ave S,Grand Forks,ND,58201,18-001-7360,Red River High School,268,284
138,18-001-7771,,Schroeder Middle School,800 32nd Ave S,Grand Forks,ND,58201,18-001-7771,Schroeder Middle School,0,0
139,18-001-8062,,South Middle School,1999 47th Ave S,Grand Forks,ND,58201,18-001-8062,South Middle School,0,0
140,18-001-8975,,Valley Middle School,2100 5th Ave N,Grand Forks,ND,58203,18-001-8975,Valley Middle School,0,0
141,18-001-9034,,Viking Elem School,809 22nd Ave S,Grand Forks,ND,58201,18-001-9034,Viking Elem School,0,0
142,18-001-9313,,West Elem School,615 N 25th St,Grand Forks,ND,58203,18-001-9313,West Elem School,0,0
143,18-001-9406,,Wilder Elem School,1009 N 3rd St,Grand Forks,ND,58203,18-001-9406,Wilder Elem School,0,0
144,18-001-9475,,Winship Elem School,1412 5th Ave N,Grand Forks,ND,58203,18-001-9475,Winship Elem School,0,0
145,18-044-5163,,Larimore Elem School,700 Clark Ave,Larimore,ND,58251,18-044-5163,Larimore Elem School,0,0
146,18-044-5169,,Larimore High School,300 Booth Ave,Larimore,ND,58251,18-044-5169,Larimore High School,25,25
147,18-061-8416,,Thompson Public School,424 3rd St,Thompson,ND,58278,18-061-8416,Thompson Public School,39,27
148,18-125-5473,,Manvel Elem School,801 Oldham Ave,Manvel,ND,58256,18-125-5473,Manvel Elem School,0,0
149,18-127-2362,,Emerado Elem School,501 Main St,Emerado,ND,58228,18-127-2362,Emerado Elem School,0,0
150,18-128-5707,,Midway Public School,3202 33rd Ave NE,Inkster,ND,58233,18-128-5707,Midway Public School,15,10
151,18-129-6134,,Northwood Public School,420 Trojan Rd,Northwood,ND,58267,18-129-6134,Northwood Public School,10,17
152,19-018-1306,,Roosevelt Elem School,210 2nd Ave W,Carson,ND,58529,19-018-1306,Roosevelt Elem School,0,0
153,19-049-2328,,Elgin-New Leipzig Public School,110 West Street N,Elgin,ND,58533,19-049-2328,Elgin-New Leipzig Public School,12,16
154,20-007-0958,,Midkota Elem School,203 Curtis Ave W,Binford,ND,58416,20-007-0958,Midkota Elem School,0,0
155,20-007-3172,,Midkota High School,81 School Ave,Glenfield,ND,58443,20-007-3172,Midkota High School,12,10
156,20-018-1555,,Griggs County Central Public School,1207 Foster Ave NE,Cooperstown,ND,58425,20-018-1555,Griggs County Central Public School,10,12
157,21-001-5858,,Mott-Regent Public School,205 Dakota Ave,Mott,ND,58646,21-001-5858,Mott-Regent Public School,17,14
158,21-009-6026,,New England Public School,1200 Main St,New England,ND,58647,21-009-6026,New England Public School,15,17
159,22-001-8232,,Steele-Dawson Public School,101 4th St SE,Steele,ND,58482,22-001-8232,Steele-Dawson Public School,33,22
160,22-001-8318,,Tappen Elem School,325 2nd St NE,Tappen,ND,58487,22-001-8318,Tappen Elem School,0,0
161,23-003-2106,,Willow Bank Colony School,8827 76th St SE,Edgeley,ND,58433,23-003-2106,Willow Bank Colony School,0,0
162,23-003-2107,,Edgeley Public School,307 6th St,Edgeley,ND,58433,23-003-2107,Edgeley Public School,19,12
163,23-007-5072,,Kulm Public School,217 2nd Ave SW,Kulm,ND,58456,23-007-5072,Kulm Public School,11,6
164,23-008-5144,,LaMoure Colony School,9644 74th St SE,LaMoure,ND,58458,23-008-5144,LaMoure Colony School,0,0
165,23-008-5145,,LaMoure Public School,105 6th Ave SE,LaMoure,ND,58458,23-008-5145,LaMoure Public School,25,16
166,24-002-5977,,Napoleon Public School,615 3rd St E,Napoleon,ND,58561,24-002-5977,Napoleon Public School,25,19
167,24-056-3013,,Gackle-Streeter Public School,300 2nd Ave E,Gackle,ND,58442,24-056-3013,Gackle-Streeter Public School,3,6
168,25-001-9003,,Velva Public School,101 W 4th St,Velva,ND,58790,25-001-9003,Velva Public School,29,37
169,25-014-0389,,Anamoose Elem School,706 3rd St W,Anamoose,ND,58710,25-014-0389,Anamoose Elem School,0,0
170,25-057-1925,,Drake High School,411 Main,Drake,ND,58736,25-057-1925,Drake High School,14,16
171,25-060-3253,,TGU Granville Public School,210 6th St SW,Granville,ND,58741,25-060-3253,TGU Granville Public School,12,8
172,25-060-6046,,TGU Towner Public School,302 2nd St SE,Towner,ND,58788,25-060-6046,TGU Towner Public School,15,16
173,26-004-9849,,Zeeland Public School,510 S Main St,Zeeland,ND,58581,26-004-9849,Zeeland Public School,3,2
174,26-009-0539,,Ashley Public School,703 W Main St,Ashley,ND,58413,26-009-0539,Ashley Public School,14,7
175,26-019-9477,,Wishek Public School,200 Badger St S,Wishek,ND,58495,26-019-9477,Wishek Public School,12,11
176,27-001-5606,,Watford City High School,2313 Wolves Den Parkway,Watford City,ND,58854,27-001-5606,Watford City High School,96,75
177,27-001-5607,,Watford City Elem School,300 3rd St SE,Watford City,ND,58854,27-001-5607,Watford City Elem School,0,0
178,27-001-5609,,Watford City Middle School,2313 Wolves Den Parkway,Watford City,ND,58854,27-001-5609,Watford City Middle School,0,0
179,27-002-0315,,Alexander Public School,601 Delaney St,Alexander,ND,58831,27-002-0315,Alexander Public School,17,9
180,27-014-2741,,East Fairview Elem School,301 2nd St S and Prospect Ave,Fairview,MT,59221,27-014-2741,East Fairview Elem School,0,0
181,27-032-3741,,Horse Creek School,1812 Horse Creek Rd,Cartwright,ND,58838,27-032-3741,Horse Creek School,0,0
